timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89404542415,4,-33,53,2,11,14,4,6
89404555977,8,-11,25,26,-13,-1,2,8
89404555977,-13,-41,-89,-68,-27,-23,-4,-11
89404570865,3,26,58,78,32,27,0,11
89404570865,-3,21,-57,-36,-7,-13,0,-10
89404578482,2,42,72,7,6,5,1,2
89404578482,-3,13,-18,0,7,-5,0,-2
89404587334,3,25,27,38,11,14,2,3
89404587334,-4,5,-27,-11,-1,-1,0,-5
89404593495,5,20,7,4,10,6,-1,3
89404593495,2,41,-26,-20,-5,-1,-3,-1
89404602278,-3,35,7,-6,-7,-7,-4,-4
89404602278,2,-32,-12,-14,-6,-3,4,-1
89404615981,2,-41,10,-12,9,7,1,2
89404615981,6,-23,57,44,7,10,1,8
89404624811,0,-23,-14,-3,-9,-4,-3,-4
89404624811,1,7,-9,-10,-4,-8,-3,2
89404638388,-1,11,13,8,-11,-10,-3,-6
89404638388,-4,-6,-28,-11,10,4,-3,-2
89404647415,-4,-15,-31,3,-4,2,1,2
89404647415,-1,7,6,-4,-4,1,9,4
89404653424,-2,5,-20,-5,2,-1,-9,-2
89404653424,3,16,14,10,14,8,-2,0
89404662273,1,-4,-3,-17,-12,-5,-5,-4
89404662273,-3,-8,5,7,-5,-6,4,1
89404675857,-7,-8,-31,-28,-9,-7,-9,-7
89404675857,1,7,10,12,11,11,11,4
89404684921,-1,-3,16,8,4,5,4,-2
89404684921,-1,2,-6,-1,0,3,2,-4
89404698513,0,4,3,-1,-8,-16,-6,0
89404698513,6,7,5,-3,-11,2,1,0
89404707377,-3,-8,-11,3,8,-2,-6,-3
89404707377,0,2,-1,-7,-8,-5,-1,-1
89404713455,-2,-3,-11,-1,2,3,6,-1
89404713455,0,-3,4,8,1,-5,4,0
89404722301,0,-2,5,2,-3,-3,-14,2
89404722301,-3,1,-5,-12,-3,3,0,-3
89404736001,-2,2,9,6,6,6,4,0
89404736001,1,3,-4,4,-7,-13,2,-2
89404744894,0,-1,9,6,0,-6,-4,2
89404744894,-1,1,-13,-5,-4,3,-4,0
89404758477,1,4,2,2,-4,12,19,2
89404758477,0,0,11,12,6,-6,-16,-5
89404767372,0,1,4,-10,-8,1,31,13
89404767372,-1,0,-3,1,-1,8,-5,0
89404773292,0,6,-2,0,-1,12,7,8
89404773292,-3,-3,-6,2,2,5,8,2
89404782428,0,-2,-3,3,0,-2,-3,-6
89404782428,-3,-7,-9,4,4,-11,-6,3
89404795989,-1,1,-2,-5,-5,1,12,0
89404795989,-3,-2,1,-5,-8,-7,-16,-4
89404804799,-3,-3,0,-6,-1,3,-7,-8
89404804799,-1,6,5,0,-1,-10,-6,-5
89404818560,6,-1,-8,0,-2,-3,21,14
89404818560,-2,0,-1,2,-3,-11,-28,-4
89404827371,-10,4,4,-7,-1,4,15,1
89404827371,11,-1,-3,-2,0,-7,-7,3
89404843051,-6,8,5,2,-6,-4,-3,-1
89404843051,0,-1,-7,3,4,10,9,3
89404844519,12,15,7,2,4,1,-10,4
89404844519,-4,-7,-7,-2,-8,-5,-5,2
89404855867,-7,-13,-4,-5,-5,-8,-8,-22
89404855867,-1,0,1,1,-1,5,19,1
89404864783,0,8,5,1,3,3,-13,-11
89404864783,14,-6,-1,5,1,7,14,22
89404878427,-6,0,-7,-6,-2,-12,-13,4
89404878427,-7,2,-1,1,-2,-4,2,-7
89404887267,15,5,1,7,5,8,14,7
89404887267,10,-5,-1,0,-3,2,-15,-15
89404893441,-5,15,9,-3,0,-3,-2,2
